FANG,0.478,0.455,0.518,0.468,0.481,0.528,0.487,0.456,0.525,0.501,0.500,0.509,0.55,0.488,0.521,0.501,0.521,0.501,0.483,0.51,0.534,0.546,0.55,0.533,0.57,0.517,0.528,0.537,0.532,0.509,0.542,0.523,0.512,0.556,0.535,0.547,0.567,0.541,0.527,0.525,0.519,0.575
Dhalsim,0.383,0.425,0.45,0.476,0.545,0.455,0.449,0.436,0.522,0.5,0.491,0.500,0.524,0.511,0.524,0.477,0.525,0.648,0.478,0.469,0.458,0.587,0.514,0.553,0.526,0.504,0.563,0.483,0.524,0.52,0.56,0.507,0.518,0.566,0.508,0.571,0.561,0.576,0.517,0.465,0.551,0.575
Cody,0.463,0.488,0.471,0.469,0.49,0.464,0.49,0.485,0.51,0.517,0.45,0.476,0.500,0.504,0.482,0.513,0.52,0.512,0.535,0.513,0.509,0.498,0.522,0.516,0.524,0.532,0.508,0.519,0.512,0.533,0.564,0.559,0.529,0.524,0.54,0.536,0.548,0.543,0.567,0.577,0.535,0.562
Birdie,0.446,0.47,0.498,0.483,0.455,0.45,0.472,0.465,0.493,0.5,0.512,0.489,0.496,0.500,0.503,0.464,0.502,0.554,0.519,0.517,0.532,0.519,0.499,0.529,0.572,0.537,0.558,0.565,0.519,0.501,0.535,0.553,0.522,0.544,0.532,0.536,0.585,0.531,0.548,0.51,0.525,0.575
Guile,0.491,0.494,0.472,0.464,0.475,0.496,0.455,0.509,0.5,0.505,0.479,0.476,0.518,0.497,0.500,0.53,0.512,0.484,0.482,0.488,0.506,0.56,0.517,0.53,0.47,0.485,0.482,0.509,0.504,0.544,0.542,0.498,0.521,0.517,0.528,0.545,0.522,0.54,0.533,0.557,0.528,0.545
Abigail,0.497,0.506,0.51,0.49,0.469,0.469,0.483,0.409,0.499,0.447,0.499,0.523,0.487,0.536,0.47,0.500,0.491,0.577,0.472,0.518,0.52,0.515,0.49,0.5,0.522,0.518,0.567,0.546,0.556,0.476,0.56,0.529,0.514,0.543,0.548,0.518,0.558,0.501,0.572,0.523,0.583,0.545
Nash,0.426,0.485,0.442,0.463,0.494,0.485,0.478,0.437,0.476,0.484,0.479,0.475,0.48,0.498,0.488,0.509,0.500,0.54,0.494,0.459,0.491,0.535,0.503,0.525,0.499,0.507,0.538,0.528,0.52,0.523,0.521,0.5,0.52,0.516,0.53,0.52,0.551,0.532,0.507,0.513,0.572,0.536
Zangief,0.488,0.438,0.521,0.523,0.386,0.454,0.468,0.476,0.455,0.469,0.499,0.352,0.488,0.446,0.516,0.423,0.46,0.500,0.494,0.552,0.472,0.442,0.499,0.514,0.52,0.533,0.426,0.533,0.499,0.507,0.471,0.521,0.544,0.542,0.561,0.555,0.54,0.519,0.561,0.548,0.453,0.577
Necalli,0.438,0.466,0.455,0.463,0.467,0.479,0.474,0.5,0.468,0.474,0.517,0.522,0.465,0.481,0.518,0.528,0.506,0.506,0.500,0.487,0.509,0.513,0.498,0.505,0.503,0.527,0.502,0.507,0.518,0.506,0.497,0.513,0.519,0.534,0.534,0.525,0.517,0.513,0.514,0.537,0.542,0.511
Laura,0.462,0.495,0.503,0.503,0.453,0.475,0.507,0.512,0.493,0.459,0.49,0.531,0.487,0.483,0.512,0.482,0.541,0.448,0.513,0.500,0.525,0.49,0.495,0.481,0.517,0.504,0.509,0.522,0.54,0.482,0.527,0.507,0.508,0.531,0.526,0.503,0.514,0.506,0.524,0.549,0.594,0.536
