Alex,0.442,0.462,0.434,0.477,0.462,0.495,0.513,0.535,0.5,0.474,0.500,0.5,0.482,0.47,0.514,0.517,0.485,0.482,0.532,0.513,0.521,0.535,0.522,0.511,0.531,0.545,0.794
Karin,0.441,0.471,0.453,0.438,0.439,0.464,0.533,0.487,0.473,0.494,0.5,0.500,0.511,0.511,0.484,0.506,0.493,0.501,0.541,0.484,0.523,0.532,0.526,0.512,0.537,0.533,0.735
R.Mika,0.488,0.461,0.473,0.456,0.456,0.506,0.506,0.515,0.483,0.465,0.518,0.489,0.500,0.493,0.484,0.513,0.49,0.494,0.521,0.493,0.546,0.517,0.512,0.517,0.538,0.526,0.748
Edd,0.442,0.449,0.466,0.459,0.5,0.458,0.462,0.501,0.486,0.513,0.53,0.489,0.507,0.500,0.523,0.502,0.517,0.536,0.502,0.552,0.516,0.487,0.513,0.525,0.538,0.542,0.738
Zangief,0.48,0.424,0.451,0.432,0.497,0.528,0.467,0.337,0.513,0.533,0.486,0.517,0.516,0.477,0.500,0.503,0.523,0.486,0.455,0.435,0.556,0.521,0.515,0.514,0.541,0.533,0.621
Necalli,0.429,0.461,0.478,0.439,0.468,0.437,0.517,0.498,0.475,0.482,0.483,0.494,0.488,0.498,0.497,0.500,0.476,0.494,0.524,0.511,0.515,0.519,0.512,0.527,0.516,0.519,0.74
Kolin,0.46,0.467,0.484,0.436,0.46,0.452,0.466,0.535,0.463,0.455,0.515,0.507,0.51,0.483,0.477,0.524,0.500,0.514,0.531,0.483,0.5,0.513,0.525,0.513,0.546,0.532,0.71
Rashid,0.456,0.472,0.475,0.499,0.48,0.448,0.451,0.54,0.489,0.458,0.518,0.499,0.506,0.464,0.514,0.506,0.486,0.500,0.523,0.525,0.509,0.498,0.5,0.521,0.509,0.51,0.755
Nash,0.407,0.461,0.433,0.469,0.452,0.437,0.463,0.451,0.449,0.432,0.468,0.459,0.479,0.498,0.545,0.476,0.469,0.477,0.500,0.496,0.512,0.534,0.523,0.525,0.506,0.514,0.742
Abigail,0.441,0.42,0.399,0.497,0.461,0.508,0.4,0.51,0.496,0.476,0.487,0.516,0.507,0.448,0.565,0.489,0.517,0.475,0.504,0.500,0.493,0.502,0.486,0.504,0.555,0.523,0.708
Akuma,0.412,0.445,0.447,0.435,0.456,0.455,0.443,0.446,0.472,0.503,0.479,0.477,0.454,0.484,0.444,0.485,0.501,0.491,0.488,0.507,0.500,0.5,0.511,0.513,0.487,0.496,0.7
Ryu,0.395,0.442,0.448,0.436,0.425,0.43,0.446,0.427,0.463,0.492,0.465,0.468,0.483,0.513,0.479,0.481,0.487,0.502,0.466,0.498,0.501,0.500,0.516,0.501,0.491,0.494,0.716
Ken,0.43,0.434,0.454,0.464,0.445,0.448,0.432,0.454,0.462,0.488,0.478,0.474,0.488,0.487,0.485,0.488,0.475,0.5,0.477,0.514,0.489,0.484,0.500,0.52,0.497,0.502,0.691
ChunLi,0.431,0.434,0.461,0.448,0.431,0.447,0.469,0.425,0.464,0.46,0.489,0.488,0.483,0.475,0.486,0.473,0.487,0.48,0.475,0.496,0.487,0.5,0.48,0.500,0.493,0.513,0.677
Cammy,0.41,0.418,0.454,0.423,0.444,0.439,0.477,0.464,0.464,0.47,0.469,0.463,0.462,0.462,0.459,0.484,0.454,0.491,0.494,0.445,0.513,0.509,0.503,0.507,0.500,0.497,0.639
Juri,0.376,0.421,0.403,0.4,0.437,0.421,0.485,0.464,0.462,0.478,0.455,0.467,0.474,0.458,0.467,0.481,0.468,0.49,0.486,0.477,0.504,0.506,0.498,0.487,0.503,0.500,0.718
Menat,0.15,0.203,0.202,0.23,0.233,0.199,0.191,0.229,0.242,0.261,0.206,0.265,0.252,0.262,0.379,0.26,0.29,0.245,0.259,0.292,0.3,0.285,0.309,0.323,0.361,0.282,0.500
