Falke,0.439,0.491,0.46,0.458,0.431,0.417,0.451,0.446,0.501,0.518,0.500,0.507,0.513,0.5,0.528,0.545,0.611,0.488,0.463,0.545,0.539,0.564,0.493,0.503,0.528,0.517,0.502,0.541,0.513,0.521,0.547,0.535,0.533,0.569,0.545,0.554,0.569,0.541,0.547,0.549
Edd,0.497,0.449,0.48,0.522,0.459,0.446,0.493,0.48,0.536,0.512,0.493,0.500,0.496,0.487,0.555,0.536,0.529,0.488,0.515,0.546,0.518,0.482,0.518,0.553,0.525,0.54,0.526,0.547,0.523,0.561,0.504,0.518,0.512,0.567,0.547,0.574,0.561,0.56,0.534,0.573
Cody,0.474,0.465,0.492,0.447,0.479,0.436,0.505,0.482,0.507,0.497,0.487,0.504,0.500,0.493,0.518,0.504,0.515,0.525,0.498,0.522,0.508,0.495,0.508,0.539,0.526,0.523,0.522,0.542,0.554,0.542,0.509,0.553,0.545,0.562,0.539,0.576,0.533,0.538,0.532,0.581
Guile,0.475,0.486,0.512,0.466,0.465,0.436,0.5,0.464,0.512,0.49,0.5,0.513,0.507,0.500,0.473,0.488,0.489,0.512,0.487,0.472,0.476,0.561,0.526,0.516,0.498,0.517,0.507,0.512,0.544,0.505,0.544,0.557,0.525,0.524,0.536,0.533,0.525,0.545,0.546,0.567
Alex,0.44,0.461,0.452,0.487,0.48,0.542,0.489,0.522,0.483,0.509,0.472,0.445,0.482,0.527,0.500,0.484,0.505,0.533,0.575,0.509,0.524,0.538,0.528,0.506,0.512,0.525,0.542,0.531,0.533,0.525,0.518,0.515,0.53,0.526,0.528,0.541,0.599,0.526,0.535,0.514
Laura,0.483,0.466,0.51,0.498,0.515,0.503,0.506,0.513,0.491,0.498,0.455,0.464,0.496,0.512,0.516,0.500,0.456,0.518,0.507,0.514,0.516,0.502,0.535,0.544,0.53,0.505,0.503,0.513,0.531,0.512,0.498,0.5,0.526,0.53,0.504,0.526,0.586,0.508,0.519,0.546
Zangief,0.497,0.444,0.46,0.46,0.507,0.339,0.446,0.534,0.408,0.433,0.389,0.471,0.485,0.511,0.495,0.544,0.500,0.462,0.44,0.494,0.527,0.443,0.465,0.533,0.537,0.51,0.532,0.542,0.493,0.524,0.513,0.516,0.506,0.56,0.545,0.556,0.452,0.521,0.562,0.558
G,0.428,0.427,0.474,0.441,0.467,0.481,0.48,0.462,0.453,0.473,0.512,0.512,0.475,0.488,0.467,0.482,0.538,0.500,0.497,0.511,0.517,0.473,0.5,0.51,0.485,0.492,0.525,0.536,0.504,0.527,0.532,0.517,0.522,0.513,0.534,0.546,0.569,0.536,0.532,0.544
Poison,0.409,0.432,0.462,0.444,0.437,0.443,0.425,0.446,0.411,0.448,0.537,0.485,0.502,0.513,0.425,0.493,0.561,0.503,0.500,0.489,0.521,0.51,0.46,0.499,0.526,0.525,0.48,0.526,0.516,0.518,0.561,0.524,0.513,0.502,0.533,0.523,0.51,0.541,0.534,0.509
Necalli,0.409,0.464,0.48,0.509,0.463,0.495,0.458,0.47,0.511,0.479,0.455,0.454,0.478,0.528,0.491,0.486,0.506,0.489,0.511,0.500,0.48,0.515,0.515,0.514,0.513,0.483,0.495,0.483,0.511,0.491,0.521,0.515,0.524,0.509,0.525,0.532,0.534,0.54,0.527,0.541
Karin,0.408,0.467,0.467,0.41,0.459,0.459,0.462,0.462,0.469,0.461,0.461,0.482,0.492,0.524,0.476,0.484,0.473,0.483,0.479,0.52,0.500,0.512,0.514,0.486,0.506,0.505,0.496,0.49,0.516,0.507,0.532,0.523,0.498,0.536,0.538,0.526,0.518,0.541,0.536,0.542
Sagat,0.456,0.472,0.436,0.433,0.414,0.368,0.441,0.451,0.471,0.475,0.436,0.518,0.505,0.439,0.462,0.498,0.557,0.527,0.49,0.485,0.488,0.500,0.477,0.514,0.506,0.536,0.497,0.531,0.54,0.515,0.524,0.537,0.52,0.533,0.509,0.556,0.501,0.541,0.537,0.52
Nash,0.434,0.462,0.419,0.462,0.439,0.447,0.468,0.443,0.472,0.478,0.507,0.482,0.492,0.474,0.472,0.465,0.535,0.5,0.54,0.485,0.486,0.523,0.500,0.496,0.504,0.499,0.47,0.506,0.514,0.496,0.523,0.511,0.522,0.502,0.505,0.506,0.544,0.521,0.52,0.495
Kolin,0.442,0.445,0.481,0.488,0.467,0.531,0.451,0.46,0.469,0.448,0.497,0.447,0.461,0.484,0.494,0.456,0.468,0.49,0.501,0.486,0.514,0.486,0.504,0.500,0.478,0.513,0.509,0.505,0.513,0.492,0.504,0.497,0.512,0.514,0.521,0.545,0.554,0.519,0.523,0.542
ChunLi,0.453,0.45,0.484,0.431,0.482,0.416,0.455,0.484,0.478,0.475,0.472,0.475,0.474,0.502,0.488,0.47,0.463,0.515,0.474,0.487,0.494,0.494,0.496,0.522,0.500,0.496,0.479,0.519,0.519,0.499,0.512,0.487,0.542,0.494,0.512,0.506,0.5,0.517,0.513,0.53
Lucia,0.407,0.44,0.446,0.419,0.431,0.445,0.46,0.447,0.483,0.473,0.483,0.46,0.477,0.484,0.475,0.495,0.49,0.508,0.475,0.517,0.495,0.464,0.501,0.487,0.504,0.500,0.495,0.513,0.47,0.501,0.51,0.512,0.509,0.524,0.501,0.508,0.543,0.524,0.527,0.532
